Order ID,Customer ID,Location Id,Order Date
US-2017-KC1667555-41275,KC-1667555,HonduCortéSan Pedro Sula,1/1/2017
TZ-2017-JE5610129-41275,JE-5610129,TanzaArushArusha,1/1/2017
TO-2017-PC8745131-41275,PC-8745131,TogoMaritLome,1/1/2017
MX-2017-PO1886582-41275,PO-1886582,MexicJalisGuadalajara,1/1/2017
MX-2017-EN1378082-41275,EN-1378082,MexicDistrMilpa Alta,1/1/2017
MX-2017-BD1172539-41275,BD-1172539,El SaSan SSoyapango,1/1/2017
IN-2017-ML1741027-41275,ML-1741027,ChinaInnerBaotou,1/1/2017
IN-2017-MA1756058-41275,MA-1756058,IndiaKarnaBellary,1/1/2017
IN-2017-AR1054058-41275,AR-1054058,IndiaRajasJodhpur,1/1/2017
ID-2017-JS1559559-41275,JS-1559559,IndonSumatMedan,1/1/2017
ES-2017-VB21745120-41275,VB-21745120,SpainMadriMadrid,1/1/2017
ES-2017-JP1546045-41275,JP-1546045,FrancAuverGivors,1/1/2017
CA-2017-VW21775140-41275,VW-217751406,UniteOhioMedina,1/1/2017
CA-2017-CB12535140-41275,CB-125351406,UniteDelawNewark,1/1/2017
YM-2017-EC4050145-41276,EC-4050145,YemenTa'izTaizz,1/2/2017
UP-2017-EB3840137-41276,EB-3840137,UkraiKharkKharkiv,1/2/2017
TX-2017-MK8160135-41276,MK-8160135,TurkmMaryMary,1/2/2017
MX-2017-NM1844539-41276,NM-1844539,El SaSan SApopa,1/2/2017
MX-2017-MC1784528-41276,MC-1784528,ColomHuilaPitalito,1/2/2017
MX-2017-EH1412555-41276,EH-1412555,HonduAtlánLa Ceiba,1/2/2017
ID-2017-JE1561059-41276,JE-1561059,IndonJawa Depok,1/2/2017
ID-2017-BG110357-41276,BG-110357,AustrQueenBrisbane,1/2/2017
ES-2017-LC17140120-41276,LC-17140120,SpainCastiPonferrada,1/2/2017
ES-2017-EB1384045-41276,EB-1384045,FrancLanguMontpellier,1/2/2017
EG-2017-TP1141538-41276,TP-1141538,EgyptAl FaAl Fayyum,1/2/2017
CA-2017-SF20965140-41276,SF-209651402,UniteTexasBaytown,1/2/2017
CA-2017-AH10465140-41276,AH-104651402,UniteTexasDallas,1/2/2017
ZA-2017-SS10140147-41277,SS-10140147,ZimbaHararHarare,1/3/2017
ZA-2017-CS2505146-41277,CS-2505146,ZambiCoppeKitwe,1/3/2017
SA-2017-RF9840110-41277,RF-9840110,SaudiAr RiRiyadh,1/3/2017
MX-2017-LH1675039-41277,LH-1675039,El SaSan SSan Salvador,1/3/2017
MX-2017-CA1226518-41277,CA-1226518,BraziRoraiBoa Vista,1/3/2017
