Order ID,Customer ID,Location Id,Order Date
US-2019-EP13915140-42005,EP-139151408,UniteFloriJacksonville,1/1/2019
US-2019-DB13660140-42005,DB-136601406,UniteOhioLancaster,1/1/2019
RO-2019-LW6825107-42005,LW-6825107,RomanBrailBraila,1/1/2019
PL-2019-DO3645103-42005,DO-3645103,PolanPomerGdynia,1/1/2019
IT-2019-AS1024045-42005,AS-1024045,FrancIle-dCergy,1/1/2019
IR-2019-CG252060-42005,CG-252060,IranEsfahKashan,1/1/2019
IN-2019-KN164507-42005,KN-164507,AustrVictoMelbourne,1/1/2019
IN-2019-GM1468027-42005,GM-1468027,ChinaZhejiHangzhou,1/1/2019
ES-2019-GP1474045-42005,GP-1474045,FrancAuverVaulx-en-Velin,1/1/2019
ES-2019-FH1435045-42005,FH-1435045,FrancIle-dPantin,1/1/2019
ES-2019-BN1147064-42005,BN-1147064,ItalyCampaAfragola,1/1/2019
CG-2019-EN378033-42005,EN-378033,DemocKinshKinshasa,1/1/2019
CA-2019-KL16555140-42005,KL-165551404,UniteNevadReno,1/1/2019
CA-2019-BP11155140-42005,BP-111551404,UniteCalifSan Francisco,1/1/2019
CA-2019-BD11620140-42005,BD-116201404,UniteCalifAnaheim,1/1/2019
AG-2019-JE54753-42005,JE-54753,AlgerMostaMostaganem,1/1/2019
AG-2019-CR27303-42005,CR-27303,AlgerAlgerAlgiers,1/1/2019
SU-2019-JM5250122-42006,JM-5250122,SudanRed SBur Sudan,1/2/2019
MX-2019-RC1996018-42006,RC-1996018,BraziEspírSerra,1/2/2019
MX-2019-BN1147039-42006,BN-1147039,El SaSan SSoyapango,1/2/2019
IN-2019-LD1685559-42006,LD-1685559,IndonMalukAmbon,1/2/2019
IN-2019-KH1651027-42006,KH-1651027,ChinaYunnaKunming,1/2/2019
IN-2019-BE1141066-42006,BE-1141066,JapanAomorHachinohe,1/2/2019
ID-2019-BP1105092-42006,BP-1105092,New ZAucklManukau City,1/2/2019
ES-2019-HJ14875120-42006,HJ-14875120,SpainCastiPuertollano,1/2/2019
CA-2019-SC20725140-42006,SC-207251404,UniteCalifLos Angeles,1/2/2019
CA-2019-JM15250140-42006,JM-152501402,UniteTexasHuntsville,1/2/2019
CA-2019-GA14725140-42006,GA-147251406,UniteOhioLorain,1/2/2019
CA-2019-DP13390140-42006,DP-133901402,UniteWiscoFranklin,1/2/2019
TU-2019-RA9285134-42007,RA-9285134,TurkeIstanIstanbul,1/3/2019
TU-2019-Co2640134-42007,Co-2640134,TurkeIstanEsenyurt,1/3/2019
SF-2019-MC7845117-42007,MC-7845117,SouthWesteCape Town,1/3/2019
NI-2019-PB915095-42007,PB-915095,NigerLagosLagos,1/3/2019
MX-2019-MH1778582-42007,MH-1778582,MexicNuevoSanta Catarina,1/3/2019
IN-2019-SJ202157-42007,SJ-202157,AustrQueenRockhampton,1/3/2019
IN-2019-RF1934527-42007,RF-1934527,ChinaHenanXinxiang,1/3/2019
IN-2019-ML1775511-42007,ML-1775511,BanglDhakaDhaka,1/3/2019
IN-2019-KD164957-42007,KD-164957,AustrNew SWollongong,1/3/2019
IN-2019-KC1625578-42007,KC-1625578,MalayPerakTaiping,1/3/2019
IN-2019-JK1609027-42007,JK-1609027,ChinaGuangChaozhou,1/3/2019
IN-2019-EB137507-42007,EB-137507,AustrQueenGold Coast,1/3/2019
IN-2019-DJ135107-42007,DJ-135107,AustrNew STamworth,1/3/2019
IN-2019-AJ1079527-42007,AJ-1079527,ChinaYunnaKunming,1/3/2019
ES-2019-RD19585120-42007,RD-19585120,SpainValenTorrevieja,1/3/2019
ES-2019-RC1982545-42007,RC-1982545,FrancIle-dBezons,1/3/2019
ES-2019-LP1709545-42007,LP-1709545,FrancIle-dNoisy-le-Grand,1/3/2019
CG-2019-HK489033-42007,HK-489033,DemocKasaiKananga,1/3/2019
CA-2019-TS21655140-42007,TS-216551402,UniteTexasEl Paso,1/3/2019
CA-2019-FW14395140-42007,FW-143951404,UniteCalifLos Angeles,1/3/2019
CA-2019-AS10045140-42007,AS-100451408,UniteNorthJacksonville,1/3/2019
US-2019-DL13315140-42008,DL-133151404,UniteCalifRancho Cucamonga,1/4/2019
TU-2019-PT9090134-42008,PT-9090134,TurkeBingoBingol,1/4/2019
TU-2019-CM2715134-42008,CM-2715134,TurkeSanliViransehir,1/4/2019
TO-2019-FM4290131-42008,FM-4290131,TogoMaritLome,1/4/2019
NI-2019-TT1146095-42008,TT-1146095,NigerRiverPort Harcourt,1/4/2019
IN-2019-SC2038027-42008,SC-2038027,ChinaShanxTaiyuan,1/4/2019
IN-2019-EH137657-42008,EH-137657,AustrNew SNewcastle,1/4/2019
ID-2019-MP17965144-42008,MP-17965144,VietnThủ DHanoi,1/4/2019
ES-2019-MD1735045-42008,MD-1735045,FrancAuverGrenoble,1/4/2019
CA-2019-CM12385140-42008,CM-123851404,UniteCalifSan Francisco,1/4/2019
MX-2019-DB1361531-42009,DB-1361531,CubaIsla Nueva Gerona,1/5/2019
ES-2019-SJ2012545-42009,SJ-2012545,FrancAuverClermont-Ferrand,1/5/2019
US-2019-DK1309098-42010,DK-1309098,PanamPanamSan Miguelito,1/6/2019
US-2019-AR1057036-42010,AR-1057036,DominSantoSanto Domingo,1/6/2019
NI-2019-SC1080095-42010,SC-1080095,NigerEdoBenin City,1/6/2019
MX-2019-JC1610582-42010,JC-1610582,MexicSonorHermosillo,1/6/2019
MX-2019-CW1190582-42010,CW-1190582,MexicGuanaIrapuato,1/6/2019
MX-2019-AH1003051-42010,AH-1003051,GuateHuehuHuehuetenango,1/6/2019
KE-2019-PL892569-42010,PL-892569,KenyaNairoNairobi,1/6/2019
IT-2019-JL1517545-42010,JL-1517545,FrancIle-dDrancy,1/6/2019
IS-2019-MH778563-42010,MH-778563,IsraeTel ABene Beraq,1/6/2019
IR-2019-CM183060-42010,CM-183060,IranMazanChalus,1/6/2019
IN-2019-SC2077088-42010,SC-2077088,MyanmYangoYangon,1/6/2019
IN-2019-RD1958558-42010,RD-1958558,IndiaPunjaPatiala,1/6/2019
ES-2019-RH1949545-42010,RH-1949545,FrancProveNice,1/6/2019
ES-2019-PB1880545-42010,PB-1880545,FrancIle-dFontenay-aux-Roses,1/6/2019
ES-2019-NF1847548-42010,NF-1847548,GermaBremeBremen,1/6/2019
ES-2019-CS1235548-42010,CS-1235548,GermaBavarIngolstadt,1/6/2019
ES-2019-CM1216045-42010,CM-1216045,FrancBrittDouarnenez,1/6/2019
ES-2019-BB1154545-42010,BB-1154545,FrancAquitPessac,1/6/2019
ES-2019-AH10075139-42010,AH-10075139,UniteEnglaBasildon,1/6/2019
CG-2019-AR54033-42010,AR-54033,DemocKasaiKananga,1/6/2019
RS-2019-DV3045108-42011,DV-3045108,RussiKalinKaliningrad,1/7/2019
ID-2019-DP131657-42011,DP-131657,AustrNew SAlbury,1/7/2019
ID-2019-AA10315102-42011,AA-10315102,PhiliWesteBacolod City,1/7/2019
ES-2019-NF18475139-42011,NF-18475139,UniteEnglaKidderminster,1/7/2019
CA-2019-DP13390140-42011,DP-133901408,UniteAlabaTuscaloosa,1/7/2019
CA-2019-DB312023-42011,DB-312023,CanadQuebeMontréal,1/7/2019
US-2019-TS21085140-42012,TS-210851408,UniteFloriOrmond Beach,1/8/2019
US-2019-JF15190140-42012,JF-151901404,UniteCalifLong Beach,1/8/2019
RO-2019-SA10830107-42012,SA-10830107,RomanBrasoBrasov,1/8/2019
MX-2019-VT2170018-42012,VT-2170018,BraziFederBrasília,1/8/2019
MO-2019-DW358586-42012,DW-358586,MorocRabatRabat,1/8/2019
MO-2019-AW93086-42012,AW-93086,MorocSoussAgadir,1/8/2019
IT-2019-SC2077091-42012,SC-2077091,NetheNorthAmsterdam,1/8/2019
IT-2019-EB1397591-42012,EB-1397591,NetheNorthRoosendaal,1/8/2019
IN-2019-MG1768011-42012,MG-1768011,BanglDhakaDhaka,1/8/2019
ID-2019-JC15340102-42012,JC-15340102,PhiliNatioManila,1/8/2019
ID-2019-BG1169588-42012,BG-1169588,MyanmYangoYangon,1/8/2019
ES-2019-TT2107045-42012,TT-2107045,FrancNord-Tourcoing,1/8/2019
ES-2019-RP1985548-42012,RP-1985548,GermaBerliBerlin,1/8/2019
ES-2019-EB1417064-42012,EB-1417064,ItalyLombaMilan,1/8/2019
CA-2019-BW11110140-42012,BW-111101402,UniteMichiDetroit,1/8/2019
US-2019-CA127755-42013,CA-127755,ArgenBuenoBuenos Aires,1/9/2019
TU-2019-SJ10215134-42013,SJ-10215134,TurkeKonyaKonya,1/9/2019
TU-2019-CA2265134-42013,CA-2265134,TurkeDenizDenizli,1/9/2019
PL-2019-CR2820103-42013,CR-2820103,PolanLodzLodz,1/9/2019
MX-2019-SW2075582-42013,SW-2075582,MexicNuevoMonterrey,1/9/2019
MX-2019-RH1960082-42013,RH-1960082,MexicJalisGuadalajara,1/9/2019
MX-2019-GH1442582-42013,GH-1442582,MexicNuevoApodaca,1/9/2019
MX-2019-ER1385528-42013,ER-1385528,ColomAntioMedellín,1/9/2019
MO-2019-HG496586-42013,HG-496586,MorocMeknèMeknes,1/9/2019
IT-2019-TH2123545-42013,TH-2123545,FrancIle-dParis,1/9/2019
IT-2019-BW1111045-42013,BW-1111045,FrancAuverLyon,1/9/2019
IN-2019-TP211307-42013,TP-211307,AustrVictoEchuca,1/9/2019
IN-2019-JW1607558-42013,JW-1607558,IndiaRajasAjmer,1/9/2019
IN-2019-AS1022527-42013,AS-1022527,ChinaShaanXianyang,1/9/2019
ID-2019-JC1610597-42013,JC-1610597,PakisSindhHyderabad,1/9/2019
ID-2019-BT11305102-42013,BT-11305102,PhiliNatioManila,1/9/2019
ES-2019-ND18460139-42013,ND-18460139,UniteEnglaBradford,1/9/2019
ES-2019-HR1483064-42013,HR-1483064,ItalySardiCagliari,1/9/2019
ES-2019-HJ14875139-42013,HJ-14875139,UniteEnglaBath,1/9/2019
ES-2019-BK11260139-42013,BK-11260139,UniteEnglaHartlepool,1/9/2019
ES-2019-BG11740139-42013,BG-11740139,UniteEnglaKingswood,1/9/2019
ES-2019-AJ1079545-42013,AJ-1079545,FrancProveMarseille,1/9/2019
CG-2019-MS783033-42013,MS-783033,DemocKinshKinshasa,1/9/2019
CA-2019-RS19420140-42013,RS-194201404,UniteWashiSeattle,1/9/2019
TU-2019-AT435134-42014,AT-435134,TurkeDenizDenizli,1/10/2019
PL-2019-DE3255103-42014,DE-3255103,PolanMasovRadom,1/10/2019
NI-2019-JE616595-42014,JE-616595,NigerLagosLagos,1/10/2019
ML-2019-BM178579-42014,BM-178579,MaliMoptiMopti,1/10/2019
IV-2019-MA799529-42014,MA-799529,Cote LagunAbidjan,1/10/2019
IT-2019-TB2128048-42014,TB-2128048,GermaThuriSonneberg,1/10/2019
IN-2019-MS1798092-42014,MS-1798092,New ZCanteChristchurch,1/10/2019
ID-2019-TS2165559-42014,TS-2165559,IndonSulawManado,1/10/2019
ID-2019-SC2044059-42014,SC-2044059,IndonJakarJakarta,1/10/2019
ID-2019-BT1168059-42014,BT-1168059,IndonJawa Bandung,1/10/2019
ES-2019-BD1150045-42014,BD-1150045,FrancAlsacSaint-Avold,1/10/2019
ES-2019-AS1028545-42014,AS-1028545,FrancPays Les Herbiers,1/10/2019
ES-2019-AA1064564-42014,AA-1064564,ItalyLombaMilan,1/10/2019
CA-2019-BP11290140-42014,BP-112901406,UnitePennsPhiladelphia,1/10/2019
BO-2019-DB291013-42014,DB-291013,BelarBrestPinsk,1/10/2019
SF-2019-FG4260117-42015,FG-4260117,SouthEastePort Elizabeth,1/11/2019
IN-2019-ME177257-42015,ME-177257,AustrTasmaHobart,1/11/2019
IN-2019-JK157307-42015,JK-157307,AustrNew SWollongong,1/11/2019
IN-2019-CA1196527-42015,CA-1196527,ChinaBeijiBeijing,1/11/2019
ID-2019-JK1532566-42015,JK-1532566,JapanKanagKawasaki,1/11/2019
ID-2019-JE15745102-42015,JE-15745102,PhiliNatioManila,1/11/2019
ES-2019-SB2018564-42015,SB-2018564,ItalyPiedmAsti,1/11/2019
ID-2019-RH194957-42016,RH-194957,AustrQueenBundaberg,1/12/2019
US-2019-DB13120140-42017,DB-131201402,UniteTexasDallas,1/13/2019
US-2019-DA13450140-42017,DA-134501406,UniteDistrWashington,1/13/2019
TU-2019-RE9450134-42017,RE-9450134,TurkeIstanIstanbul,1/13/2019
TU-2019-CB2535134-42017,CB-2535134,TurkeIzmirIzmir,1/13/2019
MX-2019-JF1549082-42017,JF-1549082,CostaAlajuQuesada,1/13/2019
MX-2019-GG1465082-42017,GG-1465082,MexicDistrMexico City,1/13/2019
IZ-2019-BD160561-42017,BD-160561,IraqNinawMosul,1/13/2019
IR-2019-JO555060-42017,JO-555060,IranHamadHamadan,1/13/2019
ID-2019-JS16030102-42017,JS-16030102,PhiliNatioManila,1/13/2019
ES-2019-GZ1447045-42017,GZ-1447045,FrancIle-dParis,1/13/2019
ES-2019-AM10705120-42017,AM-10705120,SpainValenValencia,1/13/2019
ES-2019-AG10270139-42017,AG-10270139,UniteEnglaGateshead,1/13/2019
CA-2019-LS16945140-42017,LS-169451404,UniteCalifSan Francisco,1/13/2019
CA-2019-BT153023-42017,BT-153023,CanadOntarNorth York,1/13/2019
BU-2019-GD459019-42017,GD-459019,BulgaSliveSliven,1/13/2019
AO-2019-SK99904-42017,SK-99904,AngolLuandLuanda,1/13/2019
AG-2019-PO88653-42017,PO-88653,AlgerGuelmGuelma,1/13/2019
US-2019-CP12085140-42018,CP-120851402,UniteMissoSpringfield,1/14/2019
MX-2019-JJ1544565-42018,JJ-1544565,JamaiSaintPortmore,1/14/2019
MO-2019-ML739586-42018,ML-739586,MorocTangeTangier,1/14/2019
IT-2019-AG1076564-42018,AG-1076564,ItalyTuscaFlorence,1/14/2019
IR-2019-SH997560-42018,SH-997560,IranFarsShiraz,1/14/2019
IN-2019-EM1381058-42018,EM-1381058,IndiaOdishBhubaneswar,1/14/2019
ID-2019-KM162257-42018,KM-162257,AustrWesteMandurah,1/14/2019
EZ-2019-VW1177532-42018,VW-1177532,CzechPraguPrague,1/14/2019
ES-2019-TG2131048-42018,TG-2131048,GermaBerliBerlin,1/14/2019
ES-2019-SR20740139-42018,SR-20740139,UniteEnglaNorwich,1/14/2019
ES-2019-SH2039548-42018,SH-2039548,GermaBavarMunich,1/14/2019
ES-2019-RA1928548-42018,RA-1928548,GermaBadenReutlingen,1/14/2019
ES-2019-PO18865139-42018,PO-18865139,UniteEnglaStockton-on-Tees,1/14/2019
ES-2019-MG1769564-42018,MG-1769564,ItalyPiedmTurin,1/14/2019
ES-2019-JB1540064-42018,JB-1540064,ItalyApuliTaranto,1/14/2019
ES-2019-EM1382545-42018,EM-1382545,FrancAuverLyon,1/14/2019
ES-2019-CA1231045-42018,CA-1231045,FrancAuverLyon,1/14/2019
US-2019-TP21565140-42019,TP-215651404,UniteColorAurora,1/15/2019
MX-2019-SV2081582-42019,SV-2081582,MexicDistrMexico City,1/15/2019
MX-2019-NP1868582-42019,NP-1868582,MexicGuanaIrapuato,1/15/2019
MX-2019-AB1001593-42019,AB-1001593,NicarLeónLeón,1/15/2019
IT-2019-NC1853564-42019,NC-1853564,ItalyUmbriPerugia,1/15/2019
IR-2019-DM301560-42019,DM-301560,IranLoresBorujerd,1/15/2019
IN-2019-SP20620102-42019,SP-20620102,PhiliNatioCaloocan,1/15/2019
IN-2019-JB1604558-42019,JB-1604558,IndiaMaharBhiwandi,1/15/2019
IN-2019-CC1261058-42019,CC-1261058,IndiaUttarKanpur,1/15/2019
IN-2019-AR104057-42019,AR-104057,AustrVictoMelbourne,1/15/2019
ID-2019-EM13825102-42019,EM-13825102,PhiliNatioManila,1/15/2019
ID-2019-CM1183097-42019,CM-1183097,PakisPunjaLahore,1/15/2019
GH-2019-JK562549-42019,JK-562549,GhanaGreatAccra,1/15/2019
ES-2019-RB19795139-42019,RB-19795139,UniteEnglaHereford,1/15/2019
ES-2019-EH1399048-42019,EH-1399048,GermaHambuHamburg,1/15/2019
CA-2019-SO20335140-42019,SO-203351404,UniteCalifLos Angeles,1/15/2019
CA-2019-RB19570140-42019,RB-195701408,UniteNorthJacksonville,1/15/2019
CA-2019-HR14770140-42019,HR-147701402,UniteIndiaRichmond,1/15/2019
CA-2019-BH11710140-42019,BH-117101408,UniteTenneJohnson City,1/15/2019
US-2019-TB21250140-42020,TB-212501402,UniteTexasAustin,1/16/2019
US-2019-LC1696018-42020,LC-1696018,BraziRio GAçu,1/16/2019
MX-2019-SK1999051-42020,SK-1999051,GuateGuatePetapa,1/16/2019
MX-2019-LC1696018-42020,LC-1696018,BraziGoiásGoiânia,1/16/2019
MX-2019-FC1433531-42020,FC-1433531,CubaSanctSancti Spíritus,1/16/2019
MX-2019-BP1105039-42020,BP-1105039,El SaSan SSan Salvador,1/16/2019
MO-2019-GH442586-42020,GH-442586,MorocRabatSale,1/16/2019
IZ-2019-KM672061-42020,KM-672061,IraqAl BaBasra,1/16/2019
IN-2019-KB1631559-42020,KB-1631559,IndonJawa Bekasi,1/16/2019
IN-2019-JJ1544558-42020,JJ-1544558,IndiaMaharKolhapur,1/16/2019
IN-2019-DG1330056-42020,DG-1330056,Hong Hong Kowloon,1/16/2019
IN-2019-CM123857-42020,CM-123857,AustrVictoMelbourne,1/16/2019
ID-2019-AJ1096059-42020,AJ-1096059,IndonBaliDenpasar,1/16/2019
ES-2019-TN21040139-42020,TN-21040139,UniteEnglaTamworth,1/16/2019
ES-2019-RM1937548-42020,RM-1937548,GermaHesseFrankfurt,1/16/2019
ES-2019-JL1585045-42020,JL-1585045,FrancProveLa Seyne-sur-Mer,1/16/2019
ES-2019-GH1442596-42020,GH-1442596,NorwaOsloOslo,1/16/2019
ES-2019-CJ11875120-42020,CJ-11875120,SpainMadriMadrid,1/16/2019
CA-2019-TT21460140-42020,TT-214601404,UniteCalifLos Angeles,1/16/2019
CA-2019-SC20095140-42020,SC-200951406,UniteMassaQuincy,1/16/2019
CA-2019-RW19690140-42020,RW-196901406,UnitePennsPhiladelphia,1/16/2019
TU-2019-CM2445134-42021,CM-2445134,TurkeIstanBagcilar,1/17/2019
SF-2019-LS6975117-42021,LS-6975117,SouthKwazuUlundi,1/17/2019
MX-2019-TP2141531-42021,TP-2141531,CubaGuantGuantánamo,1/17/2019
MX-2019-RC1982528-42021,RC-1982528,ColomBogotBogotá,1/17/2019
IN-2019-MG1769527-42021,MG-1769527,ChinaLiaonShenyang,1/17/2019
IN-2019-EM1414011-42021,EM-1414011,BanglDhakaDhaka,1/17/2019
IN-2019-DK1337527-42021,DK-1337527,ChinaHainaHaikou,1/17/2019
IN-2019-DJ1342058-42021,DJ-1342058,IndiaUttarMeerut,1/17/2019
ID-2019-NZ185657-42021,NZ-185657,AustrVictoWodonga,1/17/2019
ES-2019-KD1627045-42021,KD-1627045,FrancCorsiBastia,1/17/2019
ES-2019-JG1580545-42021,JG-1580545,FrancAlsacMetz,1/17/2019
ES-2019-AH1019548-42021,AH-1019548,GermaNorthBochum,1/17/2019
CA-2019-JO15145140-42021,JO-151451404,UniteCalifLos Angeles,1/17/2019
CA-2019-AR10540140-42021,AR-105401402,UniteMichiJackson,1/17/2019
TU-2019-HR4830134-42022,HR-4830134,TurkeVanVan,1/18/2019
MX-2019-CT1199528-42022,CT-1199528,ColomBogotBogotá,1/18/2019
IT-2019-CA1277545-42022,CA-1277545,FrancAlsacChaumont,1/18/2019
IR-2019-CS186060-42022,CS-186060,IranRazavMashhad,1/18/2019
IN-2019-MG1789097-42022,MG-1789097,PakisPunjaLahore,1/18/2019
IN-2019-DB1340527-42022,DB-1340527,ChinaJiangWuxi,1/18/2019
ID-2019-BB115457-42022,BB-115457,AustrAustrCanberra,1/18/2019
CG-2019-PS876033-42022,PS-876033,DemocBanduKikwit,1/18/2019
IN-2019-MC1813027-42023,MC-1813027,ChinaChongChongqing,1/19/2019
US-2019-RM19375140-42024,RM-193751406,UniteVermoBurlington,1/20/2019
TU-2019-SW10350134-42024,SW-10350134,TurkeIstanIstanbul,1/20/2019
