Order ID,Customer ID,Location Id,Order Date
IT-2016-EM14140124-40909,EM-14140124,SwedeStockStockholm,1/1/2016
IN-2016-JH159857-40909,JH-159857,AustrNew SWagga Wagga,1/1/2016
HU-2016-AT73557-40909,AT-73557,HungaBudapBudapest,1/1/2016
AG-2016-TB112803-40909,TB-112803,AlgerConstConstantine,1/1/2016
CA-2016-MM726023-40910,MM-726023,CanadOntarSt. Catharines,1/2/2016
TZ-2016-JG5115129-40911,JG-5115129,TanzaDar EDar es Salaam,1/3/2016
MX-2016-SV2078551-40911,SV-2078551,GuateGuateMixco,1/3/2016
IZ-2016-LW699061-40911,LW-699061,IraqNinawMosul,1/3/2016
IR-2016-NG835560-40911,NG-835560,IranRazavMashhad,1/3/2016
IR-2016-JO528060-40911,JO-528060,IranYazdYazd,1/3/2016
IN-2016-LB16735102-40911,LB-16735102,PhiliNatioManila,1/3/2016
IN-2016-KN164507-40911,KN-164507,AustrNew SSydney,1/3/2016
IN-2016-DP1339078-40911,DP-1339078,MalaySarawKuching,1/3/2016
ID-2016-KL1664592-40911,KL-1664592,New ZAucklPapakura,1/3/2016
ID-2016-CM12235130-40911,CM-12235130,ThailNakhoNakhon Ratchasima,1/3/2016
ES-2016-DD13570139-40911,DD-13570139,UniteEnglaSouthport,1/3/2016
US-2016-BT1130518-40912,BT-1130518,BraziAlagoPilar,1/4/2016
SU-2016-JC5340122-40912,JC-5340122,SudanKhartKhartoum,1/4/2016
MX-2016-RA1991518-40912,RA-1991518,BraziParanFrancisco Beltrão,1/4/2016
MX-2016-MH1778582-40912,MH-1778582,MexicYucatMérida,1/4/2016
MX-2016-BT1130531-40912,BT-1130531,CubaGranmManzanillo,1/4/2016
MX-2016-AW1093031-40912,AW-1093031,CubaSantiSantiago de Cuba,1/4/2016
IT-2016-GT14635139-40912,GT-14635139,UniteEnglaBirmingham,1/4/2016
IN-2016-BD1150066-40912,BD-1150066,JapanTottoTottori,1/4/2016
ES-2016-AP1091545-40912,AP-1091545,FrancAuverValence,1/4/2016
CA-2016-DP13000140-40912,DP-130001402,UniteTexasHouston,1/4/2016
MX-2016-JH1543082-40913,JH-1543082,MexicVeracPoza Rica de Hidalgo,1/5/2016
IN-2016-SW20455127-40913,SW-20455127,TaiwaTaipeTaipei,1/5/2016
ES-2016-MG1789045-40913,MG-1789045,FrancAuverEchirolles,1/5/2016
CA-2016-PO19195140-40913,PO-191951402,UniteIllinNaperville,1/5/2016
IN-2016-KM1666027-40914,KM-1666027,ChinaJilinHuadian,1/6/2016
IN-2016-BH1171059-40914,BH-1171059,IndonSumatPadang,1/6/2016
ID-2016-RD19660144-40914,RD-19660144,VietnHo ChHo Chi Minh City,1/6/2016
ES-2016-SH2039545-40914,SH-2039545,FrancIle-dParis,1/6/2016
CA-2016-MB18085140-40914,MB-180851406,UnitePennsPhiladelphia,1/6/2016
AO-2016-GK46204-40914,GK-46204,AngolLuandLuanda,1/6/2016
MZ-2016-SV1078587-40915,SV-1078587,MozamNiassLichinga,1/7/2016
MX-2016-DD1357018-40915,DD-1357018,BraziSão PBarretos,1/7/2016
LE-2016-HM486071-40915,HM-486071,LebanBeiruBeirut,1/7/2016
IT-2016-JS1603091-40915,JS-1603091,NetheGroniGroningen,1/7/2016
ID-2016-MS17365102-40915,MS-17365102,PhiliNatioManila,1/7/2016
ID-2016-AB10060113-40915,AB-10060113,SingaSingaSingapore,1/7/2016
ES-2016-DP1310545-40915,DP-1310545,FrancProveLa Seyne-sur-Mer,1/7/2016
CA-2016-ME17320140-40915,ME-173201408,UniteKentuHenderson,1/7/2016
CA-2016-LS17230140-40915,LS-172301404,UniteCalifLos Angeles,1/7/2016
CA-2016-JO15145140-40915,JO-151451408,UniteGeorgAthens,1/7/2016
AG-2016-AC4203-40915,AC-4203,AlgerAlgerAlgiers,1/7/2016
NI-2016-JE571595-40916,JE-571595,NigerLagosLagos,1/8/2016
MX-2016-CM1238551-40916,CM-1238551,GuateGuateVilla Canales,1/8/2016
IT-2016-DP1300045-40916,DP-1300045,FrancLanguToulouse,1/8/2016
IN-2016-NF1859527-40916,NF-1859527,ChinaYunnaKunming,1/8/2016
CA-2016-VS21820140-40916,VS-218201402,UniteTexasHuntsville,1/8/2016
AO-2016-HZ49504-40916,HZ-49504,AngolBenguBenguela,1/8/2016
IN-2016-AG10270144-40917,AG-10270144,VietnKiên Rach Gia,1/9/2016
ID-2016-SC20050102-40917,SC-20050102,PhiliCalabSan Pedro,1/9/2016
ID-2016-EB1370559-40917,EB-1370559,IndonJawa Kediri,1/9/2016
US-2016-JR15700143-40918,JR-15700143,VenezCarabValencia,1/10/2016
SF-2016-RS9420117-40918,RS-9420117,SouthNorthRustenburg,1/10/2016
MX-2016-PM1894082-40918,PM-1894082,MexicMéxicNicolás Romero,1/10/2016
IT-2016-GG14650139-40918,GG-14650139,UniteEnglaBirmingham,1/10/2016
IN-2016-PO1886527-40918,PO-1886527,ChinaGuangNanning,1/10/2016
IN-2016-DL128657-40918,DL-128657,AustrQueenBrisbane,1/10/2016
ID-2016-BD11605130-40918,BD-11605130,ThailBangkBangkok,1/10/2016
HU-2016-ER385557-40918,ER-385557,HungaBudapBudapest,1/10/2016
EG-2016-SJ1012538-40918,SJ-1012538,EgyptAl QaCairo,1/10/2016
CA-2016-MS17830140-40918,MS-178301402,UniteTexasLaredo,1/10/2016
AG-2016-TH112353-40918,TH-112353,AlgerConstConstantine,1/10/2016
US-2016-PF1916582-40919,PF-1916582,MexicMéxicSan Pablo de las Salinas,1/11/2016
TU-2016-CS2460134-40919,CS-2460134,TurkeBursaInegol,1/11/2016
IN-2016-SC20680102-40919,SC-20680102,PhiliCalabCalamba,1/11/2016
IN-2016-DV1346558-40919,DV-1346558,IndiaJammuJammu,1/11/2016
IN-2016-DF1313559-40919,DF-1313559,IndonJawa Bekasi,1/11/2016
ID-2016-TN2104092-40919,TN-2104092,New ZOtagoDunedin,1/11/2016
ES-2016-RC19825139-40919,RC-19825139,UniteEnglaWoking,1/11/2016
ES-2016-MB180858-40919,MB-180858,AustrViennVienna,1/11/2016
ES-2016-EM1396064-40919,EM-1396064,ItalyLigurGenoa,1/11/2016
ES-2016-DD13570120-40919,DD-13570120,SpainMurciMurcia,1/11/2016
CA-2016-AJ10780140-40919,AJ-107801408,UniteVirgiSpringfield,1/11/2016
NI-2016-SC1044095-40920,SC-1044095,NigerLagosLagos,1/12/2016
MX-2016-TS2120582-40920,TS-2120582,MexicCoahuTorreón,1/12/2016
ES-2016-RP1985548-40920,RP-1985548,GermaLowerLohne,1/12/2016
ES-2016-PB19105139-40920,PB-19105139,UniteEnglaSheffield,1/12/2016
ES-2016-AG10765139-40920,AG-10765139,UniteEnglaLeicester,1/12/2016
CA-2016-SV20365140-40920,SV-203651406,UniteDelawDover,1/12/2016
US-2016-JL15175143-40921,JL-15175143,VenezAnzoáEl Tigre,1/13/2016
MX-2016-BW1120082-40921,BW-1120082,MexicJalisGuzmán,1/13/2016
IT-2016-SC20800124-40921,SC-20800124,SwedeVästrGothenburg,1/13/2016
IT-2016-GM1468091-40921,GM-1468091,NetheSouthDordrecht,1/13/2016
IN-2016-CS118457-40921,CS-118457,AustrSouthAdelaide,1/13/2016
EG-2016-RD972038-40921,RD-972038,EgyptAswanAswan,1/13/2016
TU-2016-BD1725134-40922,BD-1725134,TurkeGaziaGaziantep,1/14/2016
SF-2016-SN10710117-40922,SN-10710117,SouthEastePort Elizabeth,1/14/2016
MX-2016-TB2105582-40922,TB-2105582,MexicBaja Tijuana,1/14/2016
MX-2016-BP1109593-40922,BP-1109593,NicarEstelEstelí,1/14/2016
ID-2016-MY18295102-40922,MY-18295102,PhiliNatioManila,1/14/2016
ES-2016-SR204258-40922,SR-204258,AustrViennVienna,1/14/2016
CA-2016-ND18370140-40922,ND-183701408,UniteSouthMount Pleasant,1/14/2016
CA-2016-MM17920140-40922,MM-179201406,UniteOhioNewark,1/14/2016
CA-2016-CS12250140-40922,CS-122501408,UniteLouisBossier City,1/14/2016
CA-2016-BD11605140-40922,BD-116051404,UniteCalifSan Francisco,1/14/2016
NI-2016-MB808595-40923,MB-808595,NigerRiverPort Harcourt,1/15/2016
MX-2016-RB1979536-40923,RB-1979536,DominLa RoLa Romana,1/15/2016
ID-2016-MC1810059-40923,MC-1810059,IndonBaliDenpasar,1/15/2016
ES-2016-DJ1351048-40923,DJ-1351048,GermaLowerLangen,1/15/2016
ES-2016-CL1270045-40923,CL-1270045,FrancNord-Maubeuge,1/15/2016
CA-2016-BS11590140-40923,BS-115901406,UnitePennsPhiladelphia,1/15/2016
CA-2016-EH13990140-40924,EH-139901408,UniteGeorgRoswell,1/16/2016
MX-2016-AH1019539-40925,AH-1019539,El SaSan SSan Salvador,1/17/2016
IT-2016-SD2048534-40925,SD-2048534,DenmaHovedCopenhagen,1/17/2016
IN-2016-TW210257-40925,TW-210257,AustrNew SWollongong,1/17/2016
ID-2016-VM218357-40925,VM-218357,AustrWesteGeraldton,1/17/2016
ES-2016-EH1376545-40925,EH-1376545,FrancIle-dChelles,1/17/2016
CA-2016-DL13315140-40925,DL-133151406,UnitePennsPhiladelphia,1/17/2016
TZ-2016-CS2175129-40926,CS-2175129,TanzaArushArusha,1/18/2016
SA-2016-BP1290110-40926,BP-1290110,SaudiAl JaSakaka,1/18/2016
MX-2016-VG2179018-40926,VG-2179018,BraziAmazoManaus,1/18/2016
ES-2016-RB1943534-40926,RB-1943534,DenmaSouthEsbjerg,1/18/2016
ES-2016-MD17860120-40926,MD-17860120,SpainValenGandia,1/18/2016
ZA-2016-PG8820146-40927,PG-8820146,ZambiEasteChipata,1/19/2016
MX-2016-AG1030093-40927,AG-1030093,NicarEstelEstelí,1/19/2016
IN-2016-PW1903088-40927,PW-1903088,MyanmYangoYangon,1/19/2016
ES-2016-MA1756064-40927,MA-1756064,ItalySicilTrapani,1/19/2016
ES-2016-AB1060064-40927,AB-1060064,ItalyLombaSesto San Giovanni,1/19/2016
CA-2016-MK790523-40927,MK-790523,CanadManitWinnipeg,1/19/2016
CA-2016-DW13195140-40927,DW-131951404,UniteOregoSpringfield,1/19/2016
US-2016-AB1025582-40928,AB-1025582,MexicDistrMexico City,1/20/2016
RS-2016-RD9900108-40928,RD-9900108,RussiBelgoGubkin,1/20/2016
NI-2016-RB933095-40928,RB-933095,NigerKanoKano,1/20/2016
MX-2016-SM2095082-40928,SM-2095082,MexicGuerrChilpancingo,1/20/2016
IR-2016-IM507060-40928,IM-507060,IranRazavMashhad,1/20/2016
IN-2016-TR213257-40928,TR-213257,AustrWestePerth,1/20/2016
ES-2016-DK1298545-40928,DK-1298545,FrancIle-dVilliers-sur-Marne,1/20/2016
CA-2016-TS21340140-40928,TS-213401404,UniteArizoScottsdale,1/20/2016
AO-2016-MA79954-40928,MA-79954,AngolLuandLuanda,1/20/2016
US-2016-MM18280140-40929,MM-182801408,UniteTenneSmyrna,1/21/2016
US-2016-HL15040140-40929,HL-150401408,UniteArkanJonesboro,1/21/2016
MX-2016-HL1504093-40929,HL-1504093,NicarManagManagua,1/21/2016
MG-2016-SH997584-40929,SH-997584,MongoUlaanUlan Bator,1/21/2016
IR-2016-DV304560-40929,DV-304560,IranRazavMashhad,1/21/2016
ID-2016-PW19030130-40929,PW-19030130,ThailBangkBangkok,1/21/2016
ES-2016-RC1996048-40929,RC-1996048,GermaNorthBielefeld,1/21/2016
CA-2016-XP21865140-40929,XP-218651402,UniteMichiWestland,1/21/2016
CA-2016-MV17485140-40929,MV-174851404,UniteCalifLos Angeles,1/21/2016
TU-2016-BM1575134-40930,BM-1575134,TurkeBursaBursa,1/22/2016
MX-2016-MP1796528-40930,MP-1796528,ColomAtlánSoledad,1/22/2016
MX-2016-CL1189039-40930,CL-1189039,El SaSantaSanta Ana,1/22/2016
KE-2016-JK532569-40930,JK-532569,KenyaCoastMombasa,1/22/2016
ID-2016-SS208757-40930,SS-208757,AustrQueenCaloundra,1/22/2016
ES-2016-PS1897064-40930,PS-1897064,ItalyTuscaPrato,1/22/2016
ES-2016-MH1729014-40930,MH-1729014,BelgiFlemiLeuven,1/22/2016
ES-2016-CB1253545-40930,CB-1253545,FrancAlsacTroyes,1/22/2016
CA-2016-TB21400140-40930,TB-214001408,UniteFloriMiami,1/22/2016
SA-2016-CR2625110-40931,CR-2625110,SaudiAl MaMedina,1/23/2016
MX-2016-LT1676593-40931,LT-1676593,NicarManagManagua,1/23/2016
TU-2016-JM5250134-40932,JM-5250134,TurkeAfyonAfyon,1/24/2016
MA-2016-GH466577-40932,GH-466577,MadagAtsinToamasina,1/24/2016
IT-2016-SJ2050064-40932,SJ-2050064,ItalyEmiliBologna,1/24/2016
IN-2016-MW1822059-40932,MW-1822059,IndonSumatMedan,1/24/2016
IN-2016-LC168857-40932,LC-168857,AustrNorthDarwin,1/24/2016
IN-2016-JM1558092-40932,JM-1558092,New ZWelliWellington,1/24/2016
IN-2016-CC1243058-40932,CC-1243058,IndiaMadhyJabalpur,1/24/2016
ES-2016-JS1594064-40932,JS-1594064,ItalySicilGela,1/24/2016
ES-2016-CP1234048-40932,CP-1234048,GermaNorthBonn,1/24/2016
EN-2016-AB60042-40932,AB-60042,EstonHarjuTallinn,1/24/2016
CA-2016-SG20605140-40932,SG-206051402,UniteIndiaLafayette,1/24/2016
CA-2016-IM15055140-40932,IM-150551404,UniteNevadLas Vegas,1/24/2016
SF-2016-BT1485117-40933,BT-1485117,SouthFree Bloemfontein,1/25/2016
NI-2016-GH442595-40933,GH-442595,NigerKwaraIlorin,1/25/2016
MX-2016-SA2083031-40933,SA-2083031,CubaGuantGuantánamo,1/25/2016
MX-2016-BP1109582-40933,BP-1109582,MexicVeracCoatzacoalcos,1/25/2016
IN-2016-LW1721527-40933,LW-1721527,ChinaHunanWuxi,1/25/2016
ES-2016-FO1430545-40933,FO-1430545,FrancAquitCognac,1/25/2016
ES-2016-FM1421548-40933,FM-1421548,GermaNorthMenden,1/25/2016
ES-2016-AB1015045-40933,AB-1015045,FrancIle-dMaisons-Alfort,1/25/2016
TU-2016-JF5355134-40934,JF-5355134,TurkeIzmirBornova,1/26/2016
SL-2016-SH9975112-40934,SH-9975112,SierrSouthBo,1/26/2016
MO-2016-NC834086-40934,NC-834086,MorocFès-BFes,1/26/2016
IT-2016-AS1024045-40934,AS-1024045,FrancLanguMontpellier,1/26/2016
IT-2016-AR10405104-40934,AR-10405104,PortuLisboLisbon,1/26/2016
IR-2016-BT153060-40934,BT-153060,IranMarkaArak,1/26/2016
IN-2016-NM1844558-40934,NM-1844558,IndiaTelanHyderabad,1/26/2016
IN-2016-CA1226559-40934,CA-1226559,IndonJawa Semarang,1/26/2016
IN-2016-AA1064558-40934,AA-1064558,IndiaTelanHyderabad,1/26/2016
ID-2016-HK1489059-40934,HK-1489059,IndonJawa Depok,1/26/2016
ES-2016-PO18850120-40934,PO-18850120,SpainMadriMadrid,1/26/2016
ES-2016-MM1792096-40934,MM-1792096,NorwaOsloOslo,1/26/2016
ES-2016-HG1502545-40934,HG-1502545,FrancAlsacReims,1/26/2016
US-2016-SD20485140-40935,SD-204851408,UniteVirgiAlexandria,1/27/2016
MX-2016-NS1850582-40935,NS-1850582,MexicTamauVictoria,1/27/2016
MX-2016-BW1106536-40935,BW-1106536,DominDuartSan Francisco de Macorís,1/27/2016
